author,title,translation,label
TVR,STUDIU | Vaccinarea împotriva COVID-19 a gravidelor ar putea oferi protecție copiilor,"Potrivit cercetării efectuate în luna februarie, au fost detectaţi anticorpi la toate cele 20 de femei cărora li s-au administrat ambele doze din vaccinul Pfizer/BioNTech în al treilea trimestru de sarcină şi la nou-născuţi, prin transfer placentar.''Constatările noastre subliniază faptul că vaccinarea femeilor gravide poate oferi protecţie maternă şi neonatală împotriva infecţiei cu SARS-CoV-2"", se arată în studiul preliminar.Concluziile cercetătorilor de la Centrul Medical Universitar Hadassah din Ierusalim au fost anunţate luna aceasta pe medRxiv - un serviciu online pentru manuscrise de cercetare nepublicate în reviste de specialitate şi care nu au fost evaluate deocamdată de alţi cercetători - şi citate marţi de media israeliene, notează Reuters.Autorii au făcut menţiuni asupra dimensiunii reduse a studiului şi au precizat că sunt necesare cercetări suplimentare pentru a se evalua efectul vaccinării în diferite stadii ale sarcinii, dar şi siguranţa şi eficacitatea diferitelor vaccinuri disponibile în prezent.Coautoare a studiului, Dana Wolf, a fost citată de Jerusalem Post afirmând că grupul va începe să analizeze perioada de timp în care anticorpii declanşaţi de vaccinări sunt prezenţi la copii.Pfizer Inc şi BioNTech SE au anunţat luna trecută cu au iniţiat un studiu internaţional efectuat pe un număr de 4.000 de voluntari pentru a se evalua siguranţa şi eficacitatea vaccinului COVID-19 la femeile însărcinate sănătoase. Studiul clinic va evalua, de asemenea, dacă femeile gravide vaccinate transferă anticorpi cu rol de protecţie copiilor lor.Un alt studiu, realizat în Statele Unite, care a fost anunţat săptămâna trecută şi aşteaptă, de asemenea, evaluarea altor cercetători, a constatat că anticorpii induşi la femeile însărcinate după administrarea vaccinurilor împotriva COVID-19 bazate pe ARN mesager (ARNm), cum ar fi Pfizer/BioNTech şi Moderna, au fost transferaţi copiilor prin placentă sau lapte matern.",1
TVR,Bursa de Valori București a ajuns la maximul istoric,"Indicele principal BET a ajuns la valoarea de 10.813 puncte, care nu a mai fost atinsă până acum. Practic, de la începutul anului, a crescut cu 10,5%. Și asta în plină pandemie!",1
TVR,Trafic îngreunat în mai multe județe din cauza ninsorilor abundente,"Temperatura înregistrată la Botoşani miercuri dimineaţă, la ora 7:00, era de 0 grade Celsius. Drumurile cele mai afectate de ninsoare şi viscol la câmp sunt DN 29, care face legătura între municipiul Botoşani şi Suceava şi DN 29C Cucorăni- Siret. Pe aceste drumuri, partea carosabilă este acoperită parţial cu zăpadă înmuiată, iar vizibilitatea coboară local sub 100 metri, informează reprezentanţii SDN Botoşani.",1
TVR,#PeDatorie. Criptomonedele şi mirajul îmbogăţirii,"Principala monedă virtuală despre care probabil aţi auzit este Bitcoinul, a fost vedeta ştirilor din ultimul an, pentru că valoarea sa a crescut de vreo 7 ori doar de la începutul pandemiei şi până acum, a explodat pur şi simplu. Este un concept atât de complex încât cu cât ştii mai multe, îţi dai seama că ştii prea puţin.",1
TVR,Regizorul american Christopher Nolan a mers la film în primele zile de relaxare,Christopher Nolan a fost la un cinematograf din Los Angeles chiar în prima zi când autoritățile locale au permis redeschiderea sălilor la o capacitate de cel mult 25%. Nolan a fost unul dintre cei mai înfocați susținători pentru redeschiderea instituțiilor de cultură și a criticat aspru studiourile care au lansat filmele online.,1
TVR,"Grecia se pregătește de sezonul estival. Din aprilie, turiștii care prezintă un certificat verde, unul de imunitate sau un test covid negativ nu vor mai sta în carantină","Astfel, începând din aprilie, turiștii care prezintă un certificat verde, unul de imunitate sau un test covid negativ, nu vor mai fi nevoiți să stea în carantina de 7 zile. In același timp, autoritățile au început un amplu program de vaccinare a celor 300 de mii de lucrători în industria hotelieră.",1
TVR,A început relaxarea la Madrid,"În timp ce Europa continuă să impună noi restricții, în Madrid oamenii sunt destul de relaxați. Toată activitatea a fost reluată, localurile pot funcționa cu jumătate din locuri la interior și 75 la sută pe terase. In ultimul weekend au fost peste 2500 de turiști francezi.",1
TVR,"17 martie, Ziua Sfântului Alexie, omul lui Dumnezeu, Alexiile, Ziua Şarpelui şi Ziua Peştelui","Numit ""omul lui Dumnezeu"", Sfântul Alexie nu impresionează prin scrierile sale, prin minuni ori tămăduiri miraculoase sau prin martiriu. Acest sfânt care a trăit în veacul al V-lea se distinge prin viaţa sa de jertfă iubitoare oferită în dar lui Dumnezeu. Biserica Ortodoxă îl prăznuieşte pe 17 martie, iar cea Romano-Catolică pe 17 iulie.",1
TVR,Lituania a anunțat marți că suspendă administrarea vaccinului AstraZeneca,"Ministrul lituanian al Sănătăţii, Arunas Dulkys, a anunţat că vaccinul nu va mai fi utilizat în ţara sa, ca măsură de precauţie, ''atât timp cât Agenţia Europeană a Medicamentului nu va furniza concluziile finale cu privire la siguranţa vaccinului"".",1
TVR,Ministerul Sănătății: Aproximativ 140 de paturi de terapie intensivă și 210 de terapie intermediară vor fi suplimentate în spitalele județene,"Ministerul Sănătăţii a reluat marţi videoconferinţa cu managerii spitalelor de la nivel judeţean, în care s-au analizat măsuri privind creşterea capacităţilor de tratare a pacienţilor COVID-19 în secţiile de terapie intensivă.",1
TVR,"Plângere penală și cerere pentru daune de zeci de mii de euro după ce mascații de la Acțiuni Speciale au descins la o adresă greșită, în Ilfov",Cele două femei vor ca polițiștii să plătească pentru agresiunile la care le-au supus. Au și certificat medico-legal.,1
TVR,România continuă vaccinarea cu serul AstraZeneca. Peste 30 de mii de programări au fost anulate în ultimele 24 de ore,Oficialii români și-au bazat decizia de a continua vaccinarea cu serul AstraZeneca pe date care arată că frecvența cazurilor de tromboză sau a altor probleme de coagulare a sângelui este de unul la un milion de persoane vaccinate - mult sub cea înregistrată în rândul populației generale.,1
TVR,"Directorul Agenției Europene pentru Medicamente despre decizia privind serul AstraZeneca: Vom analiza dacă ar trebui să adăugăm un avertisment adiţional. Dacă vom considera că e o problemă care nu poate fi rezolvată, vom lua măsurile necesare","Până la proba contrarie, indicațiile de folosire a vaccinului AstraZeneca rămân aceleași, pe considerentul că beneficiile aduse de ser sunt mult mai importante decât cazurile izolate de reacții adverse severe.",1
TVR,Ministrul Sănătății: Există o întârziere la plata personalului din centrele de vaccinare. De vină este un funcționar,"""Banii au fost ceruţi de la Ministerul Finanţelor, e adevărat că abia ieri, şi plăţile au început deja să se facă, respectiv mâine se vor continua plăţile către Direcţiile de sănătate publică"", a precizat Vlad Voiculescu la Parlament, citat de Agerpres.",1
TVR,Municipiul Cluj-Napoca ar putea deveni primul oraș din România în care centralele de apartament sunt interzise în blocurile noi,Municipiul Cluj-Napoca ar putea deveni primul oraș din România în care centralele de apartament ar putea fi interzise în blocurile noi. Primarul Emil Boc vrea să propună în Consiliul local o astfel de hotărâre.,1
TVR,Al treilea val al pandemiei lovește Europa. Țările închid tot mai multe regiuni,Din primele studii reiese că mutația din Franța nu produce efecte mai grave ale bolii COVID-19 și nici nu se răspândește mai repede ca cele cunoscute până acum.,1
TVR,"Femeie bătută de soț pe stradă, lângă secția de poliție. Imagini cu puternic impact emoțional!",Femeia de 21 de ani era căsătorită de 4 ani cu bărbatul care a agresat-o. Au împreună doi copii.,1
TVR,"Aproape 60 de mii de persoane au fost imunizate împotriva coronavirusului în România, în ultimele 24 de ore","44.299 de persoane au fost vaccinate cu prima doză, iar doza a doua au primit-o 15.685 de persoane.",1
TVR,Gheorghe Mulţescu revine în funcţia de antrenor principal la Dinamo,"""Noul antrenor principal al echipei Dinamo Bucureşti este Gheorghe Mulţescu, a anunţat directorul general interimar al clubului, Constantin Eftimescu, pentru www.fcdinamo.ro. Un nume de legendă în istoria clubului nostru, un profesionist incontestabil şi un campion al fotbalului dinamovist, Gheorghe Mulţescu a semnat un contract până la finalul sezonului competiţional 2020-2021 şi a preluat echipa în această după-amiază, la ora 17:00, în cantonamentul de la Săftica. Unde o lăsase anul trecut, pe 26 august, după 1-1 cu Hermannstadt în prima etapă a acestui sezon. Gheorghe Mulţescu a activat în ultimele luni în cadrul departamentului de scouting al clubului nostru şi este la al cincilea mandat pe banca tehnică a echipei Dinamo Bucureşti"", anunţă FC Dinamo pe site-ul său oficial.",1
TVR,"Maia Sandu l-a desemnat premier al Republicii Moldova pe liderul Partidului Acţiune şi Solidaritate, Igor Grosu","""Am luat act de decizia Marianei Durleşteanu de a-şi retrage candidatura pentru funcţia de premier şi am decis să îl nominalizez pe Igor Grosu la această funcţie"", a declarat Maia Sandu după consultările cu fracţiunile şi grupurile politice parlamentare, transmite TVR Moldova.",1
TVR,"Turiștii, așteptați pe litoral de Paște. Unii dintre patronii de la mare spun că au vândut deja mai mult de jumătate dintre pachetele pe care le au pregătit","Acasă cu familia sau cu prietenii la munte ori la mare - acestea sunt planurile multor români pentru minivacanța de Paște și 1 Mai. Pe unii însă restricțiile îi fac să se gândească la sărbători în familie, iar măsurile impuse pentru deplasările în străinătate le taie elanul de a-și face bagajele.",1
TVR,"Fără telefoane și emailuri de la șefi și colegi în afara programului de lucru. Noi reglementări europene, în pregătire","Munca peste program a devenit o obișnuință pentru mulți salariați din Uniunea Europeană după apariția crizei sanitare. Aproape o treime dintre angajații care muncesc de la distanță sunt nevoiți să lucreze în timpul liber pentru a face față solicitărilor, arată statisticile oficiale.",1
