author,title,translation,label
Calin,Un român se plânge că un aspirator din viitor a venit să-i ucidă aspiratorul,"Dar poate cel mai înspăimântător fapt este că aspiratorul din viitor se poate lichefia și lua ce formă vrea el. De când a venit din viitor, acesta a luat chiar și forme umane, unele mai înfricoșătoare decât altele.„S-a transformat ba în administrator, ba în soacră-mea, ba în preot venit cu crucea. Dar cel mai tare m-am speriat când s-a transformat în Arafat și m-a atacat pentru că nu aveam mască, deși eram în propria casă“, s-a plâns bărbatul.",0
Ionut,Apa din lacul IOR n-are nimic! Lebedele cu trei capete se simt excelent,"Nu știm exact ce e în apa din lac, dar nu e doar roșie. E și mult mai caldă decât de obicei. Copiii din cartier deja se scaldă cu lebedele cu trei capete, care sunt apreciate de bucureșteni. Ciorba de gât de lebădă este o delicatesă în cartierul Titan, iar pernele umplute cu pene de lebădă cu trei capete sunt celebre pentru faptul că dacă pui capul pe ele intri în comă, cel mai liniștit somn.",0
Vasile,Alertă de vreme severă! Un nor tocmai ne-a pus să scoatem o foaie de hârtie,"„Eu ştiam încă de ieri că vine vreme severă, aveam aşa, o senzaţie de coji de nucă pe genunchi şi mă simţeam puţin tras de urechi”, spune Gigi Marcel, meteorolog amator.„Asta-i vreme severă? De ce, că se scutură un pic norii? Pe vremea mea te verifica la teme, şi dacă te prindea cu vreun exerciţiu nefăcut îţi dădea o grindină după ceafă de o ţineai minte tot anotimpul!”, îşi aminteşte nea Ilie, pensionar.",0
Ionut,"Dacia anunţă o maşină şi mai ecologică decât Spring, Dacia Împing","Nici confortul din habitaclu nu a fost neglijat. Dacia Împing vine cu un bol pentru iaurt cu goji în loc de scrumieră. Trusa de scule include și mănuși, ca să nu faci bătături când împingi mașina și totul este rezumat în noul slogan Dacia Service: ”Noi ți-o tragem, tu Împingi!”.",0
Eftimie,Studiu. Omul de Bugethal rupea ușa peșterii la ora 15:00,"Aparent, deși era inutil pentru societate, Omul de Bugethal nu a fost exterminat ca vărul său, omul de Neanderthal și urmași ai acestuia încă se mai găsesc pe tot teritoriul Europei. O formă avansată a acestuia este Omul de Bugethal de Bruxelles, care transformă nervii în hârtie și invers.",0
Calin,Senzațional! A fost descoperit scheletul bine dotat al unui om din Puleolitic,"Pentru cei care nu știu, Puleoliticul este o perioadă în care trăiau niște hominizi care o aveau cu până la de 10 ori mai mare decât homo sapiens. Tocmai de aceea, arheologii maghiari susțin acum că scheletul acela ar aparține strămoșului lor, care în mod evident a fost primul în Ardeal.",0
Vasile,Robotul Cufuriosity caută în disperare un tufiş pe Marte,"„Situaţia e deosebit de gravă dacă ţinem cont că Cufuriosity e un rover ruşinos, care nu-şi poate descărca oriunde reziduurile reactorului. Iar prezenţa lui Curiosity nu ajută deloc, pentru că acesta îl tot bate la cap cu întrebări: ‘eşti bine, Cufuriosity?’, ‘pot să ajut cu ceva?’. În loc să-şi vadă de treabă”, explică Decebal Popson, vicedirectorul NASA.„Nu vrem să riscăm o explozie, aşa că în următoarele zile vom devia spre Marte unul din WC-urile ecologice ale Staţiei Spaţiale Internaţionale. Sperăm să ajungă la timp. Ţine-te bine, Cufuriosity, ajutorul e pe drum!”, adaugă reprezentantul agenţiei americane.",0
Ionut,Românii care au băut apă de la robinet în ultimul an nu mai au nevoie de vaccin!,"În urma acestui anunț, Apa Nova a devenit cel mai mare furnizor de medicamente retrovirale anti-Covid, depășind Pfizer și Moderna, iar AstraZeneca deja studiază o modalitate de îmbuteliere a apei de la robinet din țara noastră, ca să poată fi administrată la temperatura camerei.",0
Ionut,Epava antică de la Mamaia a fost identificată. E un Opel Vectra din 1992,"”Chiștoacele din scrumieră sunt foarte bine păstrate și ne vor ajuta să stabilim dieta posesorului acestei epave. Sperăm chiar să aflăm compoziția reală a sucurilor de la dozator din anii 90, pentru că acei compuși chimici încă nu au fost identificați, se presupune că provin din reziduurile de la Cernobîl”, spune arheologul Decebal Popescu, cel care a găsit epava.Arheologii au valorificat deja câteva piese din Opelul găsit, mai precis o oglindă și farul stânga, care au fost vândute pe Olx unui român care a mărturisit că nu e colecționar, dar circulă tot cu un Vectra din 90.",0
Vasile,Începe programul spaţial românesc! Tone de moloz vor fi aruncate ilegal pe Lună,"„E greu domle cu Garda de Mediu, cu primăria, cu ăştia, nu te mai lasă să arunci moloz nicăieri, zice că strici natura, că draci, că laci. Da’ unde să ducem nene molozu’, pă Lună? Bine, mă, îl ducem pă Lună”, precizează comunicatul oficial al Agenţiei Spaţiale „Car Moloz 07242****6 Cereţi Cu Ilie”, cum a fost botezat organismul care coordonează misiunea.Agenţia Spaţială susţine că are toate aprobările de la UE şi ONU necesare depozitării molozului pe Lună, însă stickul pe care se aflau s-a demagnetizat la traversarea centurii Van Allen.",0
Eftimie,"Mama robotului Perseverance, furioasă că acesta s-a dus pe Marte fără căciulă","Conducerea NASA l-a contactat deja pe celebrul aventurier american Elon Musk și a discutat cu el condițiile în care acesta, care a mai trimis chestii pe Marte, n-ar putea să trimită și o căciulă și două senvișuri pentru robot. Elon a fost de acord, cu condiția ca de nava spațială să fie agățat și un clown, ca să știe și extratereștrii cu ce specie de vietăți au de-a face.",0
Ionut,Geniu! Un bărbat poate memora toată lista de cumpărături pe care i-o face soția,"”Marian e atât de inteligent încât atunci când merge cu soția la cumpărături și fiecare are coșul lui, el știe exact ce va pune soția în coș, ca să nu ia și el aceleași produse. Asta înseamnă un IQ de peste 600. De fapt, nici nu e corect să i se spună Einstein. Lui Einstein ar trebui să i se spună Marian”, explică Decebal Popescu.",0
Calin,Revoluționar! Homosexualitatea se poate vindeca prin transplant de cur,"Uimiți de aceste reacții inexplicabile, cercetătorii au testat cu toții curul de heterosexual, iar rezultatul a fost același: chiar de-ai fi cel mai feroce gay, în momentul în care ți se înlocuiește curul cu unul de heterosexual dispare toată homosexualitatea din tine.Metoda a fost testată ulterior pe persoane fără legătură cu echipa de cercetare, cu aceleași rezultate. Imediat după publicarea rezultatelor oficiale ale studiului științific, prețul unui cur a explodat pe piața neagră. Doar că, surprinzător, cererea este mult mai mare pentru cururi de gay decât pentru cururi de heterosexual.",0
Ionut,"Țeasta zdrobită a unui neanderthalian care n-a vrut să ducă gunoiul, găsită într-o peșteră","Pe peretele peșterii, chiar lângă craniu, era și un desen, tradus de Decebal Popescu prin sintagma ”Nu duci gunoi? Nu facem nici mamutul pofticios!”, semn că și neanderthalienii aveau o viață grea cu femelele. Într-un alt colț al peșterii a fost găsit un craniu și mai zdrobit, cu un desen care demonstrează că bietul omuleț adusese apă de la izvorul greșit, și nu de la izvorul pe care îl pusese pe listă neanderthalița lui.",0
Eftimie,"Studiu! Femeilor nu le place salata, dar nu sunt în stare să gătească altceva","Motivul pentru care femeile insistă să spună că salata este ceva important este legat de pregătirea acesteia. O salată este cea mai ușor mâncare de făcut în afară de mâncat direct de pe jos. Aceasta are și numeroase avantaje în privința preparării, nu se arde oala pe foc cu salată, nu trebuie supravegheată și niciun animal nu încearcă s-o fure de pe masă că animalele au un instinct de supraviețuire. Specialiștii au scos la iveală faptul că oamenii pun oțet în salată doar să n-o mănânce vaca cât uită de ea pe masă.",0
Ionut,"Ca să mai reducă din calorii, un român comandă șaorma fără pătrunjel","Același client cere și murături light, cu conținut redus de sare. Dacă n-au murături light, el roagă șaormarul să le spele puțin în cola, să mai iasă sarea din ele.El nu neglijează nici aspectul psihologic al dietelor și cere cartofi extra și maioneză, pentru că îl binedispun și la o dietă motivația este esențială: ”Trebuie să rămâi satisfăcut, nu să faci foamea și pe urmă să bagi 25 de mici. Nu. Faci schimbări minore, dar cu impact mare pe termen lung. Eu nu mă arunc la diete minune, gen fără pâine sau fără cartofi, vreau dieta smart, fără pătrunjel, fără varză”, spune românul ambițios.",0
